Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9
Chickenpox,itching,body ache,headache,mild fever,skin rash,,,,
Chickenpox,itching,body ache,loss of appetite,fatigue,fever,skin rash,,,
Chickenpox,fever,body ache,skin rash,headache,loss of appetite,mild fever,itching,fatigue,
Chickenpox,itching,skin rash,fatigue,headache,mild fever,body ache,,,
Chickenpox,mild fever,loss of appetite,fever,headache,skin rash,itching,fatigue,body ache,
Chickenpox,loss of appetite,fever,mild fever,skin rash,headache,body ache,,,
Chickenpox,fatigue,skin rash,itching,mild fever,fever,body ache,headache,loss of appetite,
Chickenpox,fatigue,skin rash,loss of appetite,itching,mild fever,body ache,fever,,
Chickenpox,skin rash,mild fever,loss of appetite,body ache,,,,,
Chickenpox,mild fever,fatigue,itching,body ache,headache,fever,skin rash,loss of appetite,
Chickenpox,skin rash,mild fever,loss of appetite,fatigue,body ache,,,,
Chickenpox,loss of appetite,skin rash,mild fever,headache,,,,,
Chickenpox,skin rash,headache,itching,fever,,,,,
Chickenpox,mild fever,loss of appetite,body ache,fatigue,skin rash,headache,itching,,
Chickenpox,mild fever,itching,loss of appetite,headache,fever,skin rash,,,
Chickenpox,mild fever,body ache,skin rash,loss of appetite,fatigue,,,,
Chickenpox,itching,body ache,fever,fatigue,loss of appetite,skin rash,headache,,
Chickenpox,itching,mild fever,fever,skin rash,body ache,,,,
Chickenpox,itching,fatigue,fever,body ache,loss of appetite,skin rash,,,
Chickenpox,loss of appetite,fatigue,body ache,headache,mild fever,fever,,,
Chickenpox,loss of appetite,itching,fatigue,mild fever,,,,,
Chickenpox,headache,fatigue,skin rash,fever,loss of appetite,body ache,itching,,
Chickenpox,loss of appetite,skin rash,headache,fever,fatigue,,,,
Chickenpox,mild fever,loss of appetite,headache,fever,body ache,skin rash,itching,fatigue,
Chickenpox,loss of appetite,mild fever,fever,body ache,headache,fatigue,itching,skin rash,
Chickenpox,headache,fatigue,loss of appetite,skin rash,,,,,
Chickenpox,body ache,skin rash,fever,fatigue,loss of appetite,,,,
Chickenpox,fever,mild fever,headache,fatigue,loss of appetite,itching,body ache,,
Chickenpox,itching,loss of appetite,headache,mild fever,body ache,fever,fatigue,skin rash,
Chickenpox,body ache,skin rash,loss of appetite,fatigue,,,,,
Chickenpox,fever,mild fever,headache,fatigue,skin rash,,,,
Chickenpox,fatigue,skin rash,body ache,itching,fever,,,,
Chickenpox,headache,mild fever,loss of appetite,skin rash,body ache,itching,fever,,
Chickenpox,body ache,fever,headache,itching,skin rash,fatigue,mild fever,,
Chickenpox,skin rash,fever,headache,mild fever,itching,body ache,fatigue,,
Chickenpox,skin rash,fatigue,headache,body ache,loss of appetite,itching,,,
Chickenpox,headache,mild fever,body ache,loss of appetite,skin rash,,,,
Chickenpox,fatigue,headache,skin rash,fever,,,,,
Chickenpox,headache,loss of appetite,itching,body ache,mild fever,fever,,,
Chickenpox,skin rash,body ache,itching,fatigue,fever,loss of appetite,,,
Chickenpox,mild fever,fatigue,body ache,headache,skin rash,itching,fever,,
Chickenpox,loss of appetite,fatigue,headache,fever,mild fever,skin rash,itching,body ache,
Chickenpox,headache,fatigue,itching,body ache,loss of appetite,,,,
Chickenpox,fatigue,itching,headache,loss of appetite,body ache,fever,,,
Chickenpox,headache,itching,mild fever,loss of appetite,fever,fatigue,skin rash,,
Chickenpox,itching,skin rash,headache,body ache,fatigue,mild fever,loss of appetite,,
Chickenpox,skin rash,fever,body ache,mild fever,itching,headache,,,
Chickenpox,fever,fatigue,itching,headache,loss of appetite,mild fever,body ache,skin rash,
Chickenpox,itching,skin rash,fever,mild fever,body ache,,,,
Chickenpox,body ache,skin rash,headache,fever,,,,,
Chickenpox,mild fever,headache,skin rash,fever,body ache,loss of appetite,itching,fatigue,
Chickenpox,headache,itching,body ache,skin rash,fever,,,,
Chickenpox,mild fever,fatigue,loss of appetite,headache,fever,skin rash,body ache,itching,
Chickenpox,body ache,fatigue,loss of appetite,headache,fever,,,,
Chickenpox,skin rash,loss of appetite,fever,body ache,mild fever,headache,fatigue,,
Chickenpox,headache,body ache,loss of appetite,itching,,,,,
Chickenpox,skin rash,headache,mild fever,fatigue,itching,,,,
Chickenpox,headache,itching,fever,skin rash,,,,,
Chickenpox,itching,fatigue,mild fever,skin rash,loss of appetite,body ache,headache,fever,
Chickenpox,mild fever,headache,loss of appetite,body ache,skin rash,fever,,,
Chickenpox,skin rash,itching,loss of appetite,headache,mild fever,,,,
Chickenpox,loss of appetite,headache,itching,skin rash,mild fever,fatigue,body ache,fever,
Chickenpox,mild fever,fatigue,loss of appetite,body ache,itching,skin rash,fever,,
Chickenpox,fever,skin rash,itching,headache,mild fever,fatigue,,,
Chickenpox,fatigue,loss of appetite,fever,headache,body ache,mild fever,itching,skin rash,
Chickenpox,mild fever,headache,body ache,fatigue,skin rash,fever,,,
Chickenpox,fever,loss of appetite,fatigue,skin rash,itching,body ache,headache,,
Chickenpox,headache,skin rash,mild fever,itching,fever,,,,
Chickenpox,mild fever,fever,skin rash,fatigue,body ache,loss of appetite,headache,itching,
Chickenpox,fatigue,mild fever,itching,fever,loss of appetite,headache,,,
Chickenpox,fever,skin rash,mild fever,body ache,,,,,
Chickenpox,loss of appetite,itching,headache,mild fever,skin rash,fever,,,
Chickenpox,loss of appetite,skin rash,headache,body ache,fatigue,fever,itching,,
Chickenpox,headache,body ache,fever,loss of appetite,fatigue,mild fever,itching,,
Chickenpox,loss of appetite,body ache,fever,mild fever,,,,,
Chickenpox,skin rash,headache,fever,itching,,,,,
Chickenpox,headache,mild fever,itching,loss of appetite,fatigue,body ache,skin rash,,
Chickenpox,fatigue,headache,fever,body ache,loss of appetite,skin rash,itching,,
Chickenpox,headache,body ache,skin rash,loss of appetite,fatigue,mild fever,fever,itching,
Chickenpox,loss of appetite,fever,skin rash,headache,fatigue,mild fever,,,
Chickenpox,headache,fatigue,itching,body ache,loss of appetite,skin rash,mild fever,fever,
Chickenpox,itching,loss of appetite,body ache,fever,skin rash,,,,
Chickenpox,itching,fatigue,fever,headache,body ache,skin rash,,,
Chickenpox,headache,fatigue,loss of appetite,mild fever,,,,,
Chickenpox,skin rash,body ache,fever,mild fever,fatigue,itching,,,
Chickenpox,fever,fatigue,body ache,skin rash,mild fever,headache,,,
Chickenpox,fever,itching,loss of appetite,body ache,,,,,
Chickenpox,skin rash,fatigue,loss of appetite,itching,mild fever,headache,fever,body ache,
Chickenpox,itching,skin rash,fever,headache,fatigue,loss of appetite,,,
Chickenpox,mild fever,body ache,loss of appetite,headache,fatigue,fever,,,
Chickenpox,loss of appetite,body ache,skin rash,fever,fatigue,,,,
Chickenpox,fatigue,skin rash,fever,headache,body ache,itching,,,
Chickenpox,loss of appetite,itching,headache,mild fever,body ache,fatigue,skin rash,fever,
Chickenpox,loss of appetite,fever,itching,headache,fatigue,mild fever,,,
Chickenpox,loss of appetite,fatigue,body ache,headache,itching,skin rash,fever,,
Chickenpox,loss of appetite,body ache,fever,skin rash,headache,fatigue,mild fever,itching,
Chickenpox,loss of appetite,headache,itching,skin rash,fever,,,,
Chickenpox,body ache,skin rash,loss of appetite,mild fever,fever,headache,fatigue,itching,
Chickenpox,mild fever,skin rash,itching,fatigue,body ache,loss of appetite,,,
Chickenpox,headache,loss of appetite,body ache,fatigue,,,,,
Chickenpox,loss of appetite,skin rash,body ache,itching,mild fever,headache,,,
Chickenpox,fever,mild fever,itching,skin rash,fatigue,,,,
Chickenpox,body ache,fatigue,fever,skin rash,loss of appetite,mild fever,headache,,
Chickenpox,fatigue,mild fever,headache,fever,,,,,
Chickenpox,fatigue,skin rash,headache,itching,mild fever,,,,
Chickenpox,headache,skin rash,loss of appetite,fever,,,,,
Chickenpox,headache,loss of appetite,fever,fatigue,itching,mild fever,,,
Chickenpox,fatigue,headache,itching,loss of appetite,skin rash,,,,
Chickenpox,headache,fever,loss of appetite,itching,body ache,,,,
Chickenpox,loss of appetite,headache,mild fever,fatigue,skin rash,fever,,,
Chickenpox,headache,mild fever,loss of appetite,body ache,skin rash,itching,fever,fatigue,
Chickenpox,body ache,headache,fever,fatigue,skin rash,itching,,,
Chickenpox,headache,itching,fatigue,loss of appetite,mild fever,fever,body ache,,
Chickenpox,loss of appetite,skin rash,itching,fever,fatigue,body ache,headache,mild fever,
Chickenpox,fatigue,itching,body ache,skin rash,loss of appetite,mild fever,,,
Chickenpox,headache,fever,skin rash,body ache,itching,,,,
Chickenpox,itching,body ache,mild fever,headache,fatigue,skin rash,loss of appetite,,
Chickenpox,loss of appetite,mild fever,fever,fatigue,body ache,skin rash,headache,,
Chickenpox,body ache,mild fever,loss of appetite,fever,fatigue,skin rash,itching,headache,
Chickenpox,mild fever,loss of appetite,fever,body ache,itching,skin rash,,,
Chickenpox,fatigue,body ache,skin rash,loss of appetite,mild fever,headache,,,
Chickenpox,itching,loss of appetite,skin rash,mild fever,body ache,fatigue,headache,,
Chickenpox,itching,mild fever,body ache,skin rash,fever,headache,fatigue,,
Chickenpox,fatigue,headache,mild fever,itching,fever,loss of appetite,,,
Chickenpox,fatigue,itching,headache,body ache,loss of appetite,fever,skin rash,mild fever,
Chickenpox,loss of appetite,fever,itching,body ache,skin rash,,,,
Chickenpox,mild fever,body ache,fever,headache,itching,,,,
Chickenpox,itching,loss of appetite,headache,fever,fatigue,,,,
Chickenpox,body ache,loss of appetite,headache,skin rash,fever,itching,fatigue,mild fever,
Chickenpox,headache,fever,fatigue,body ache,loss of appetite,itching,mild fever,skin rash,
Chickenpox,fatigue,body ache,mild fever,skin rash,loss of appetite,,,,
